TAZ,origins_eet,destinations_eet,origins_mc,destinations_mc
526.0,432,144,444,122
527.0,6,1,7,0
528.0,351,2089,399,1951
529.0,787,364,772,349
530.0,1312,1444,1331,1492
531.0,794,319,795,310
532.0,1890,2680,1793,2810
533.0,728,765,655,690
534.0,667,143,706,121
535.0,227,3747,196,3684
536.0,1704,1446,1644,1425
537.0,634,198,659,210
538.0,550,162,538,119
539.0,181,1460,160,1489
540.0,46,839,64,883
541.0,825,610,804,633
542.0,135,1058,131,1075
543.0,185,25,188,38
544.0,166,78,151,63
545.0,865,511,893,509
546.0,654,1139,632,1114
547.0,218,79,207,66
548.0,98,1383,90,1309
549.0,2263,1150,2337,1174
550.0,330,463,358,441
551.0,492,392,453,388
552.0,395,3110,411,3175
553.0,354,76,320,57
554.0,486,114,478,110
555.0,970,181,923,148
556.0,205,231,198,257
557.0,908,163,845,165
558.0,1494,1334,1488,1350
559.0,306,1612,336,1604
560.0,451,185,448,162
561.0,944,740,991,735
562.0,1226,678,1197,621
563.0,488,161,477,159
564.0,1511,901,1526,846
565.0,1179,397,1245,458
566.0,73,329,63,327
567.0,632,1239,696,1244
568.0,127,37,126,29
569.0,69,1165,85,1172
570.0,1406,1486,1401,1487
571.0,120,2168,113,2308
572.0,1022,331,955,294
573.0,395,104,363,88
574.0,3477,3520,3546,3541
575.0,1678,1850,1666,1824
576.0,642,743,632,806
577.0,2214,3654,2178,3575
578.0,283,56,294,53
579.0,122,243,117,229
580.0,1020,187,938,194
581.0,1679,763,1735,831
582.0,76,729,102,756
583.0,681,234,703,256
584.0,597,155,602,167
585.0,289,1284,284,1312
586.0,229,887,213,892
587.0,1338,380,1345,358
588.0,574,141,540,174
589.0,476,206,470,213
590.0,289,52,256,66
591.0,4630,2528,4690,2569
592.0,788,396,806,478
593.0,640,2118,591,2087
594.0,184,52,209,59
595.0,1883,471,1875,548
596.0,511,123,539,116
597.0,841,190,870,179
598.0,295,256,318,296
599.0,1172,938,1175,950
600.0,648,1320,640,1327
601.0,689,185,716,164
602.0,281,1191,358,1335
603.0,692,374,700,404
604.0,669,114,624,119
605.0,1047,2360,1132,2305
606.0,576,281,560,310
607.0,58,654,70,701
608.0,597,366,610,311
609.0,43,4651,35,4453
610.0,588,466,601,477
611.0,337,442,346,443
612.0,588,1276,595,1295
613.0,481,168,478,164
614.0,774,387,757,372
615.0,294,112,302,126
616.0,86,1049,88,1146
617.0,960,841,971,845
618.0,1008,449,1025,472
619.0,262,70,252,61
620.0,3020,889,3001,847
621.0,2836,3162,2822,3198
622.0,1573,589,1612,606
623.0,1277,1457,1337,1503
624.0,2083,492,2069,497
625.0,381,103,365,98
626.0,1443,1124,1460,1135
628.0,225,87,227,95
629.0,1108,467,1091,550
630.0,1884,506,1828,473
631.0,103,154,113,176
632.0,37,131,41,124
633.0,419,494,430,462
634.0,752,170,753,184
635.0,144,494,115,488
636.0,536,1026,533,1009
637.0,291,347,301,376
638.0,549,164,548,167
639.0,232,85,257,88
640.0,2318,642,2357,738
641.0,432,122,384,109
642.0,3740,1046,3809,1028
643.0,488,118,447,123
644.0,2758,689,2758,635
645.0,562,949,570,976
646.0,145,46,135,52
648.0,1936,424,1834,504
649.0,867,3379,924,3297
650.0,845,240,886,229
651.0,513,222,546,215
652.0,1652,1770,1645,1736
653.0,346,176,312,160
654.0,602,328,614,353
655.0,673,780,611,846
656.0,284,125,273,84
657.0,1276,496,1376,571
658.0,4,139,3,131
659.0,2148,387,2177,373
661.0,610,2401,647,2530
662.0,40,80,54,63
663.0,478,188,458,189
664.0,1863,1335,1846,1347
665.0,998,5385,964,5373
666.0,196,180,189,183
667.0,169,2921,158,2918
668.0,3079,615,3035,654
669.0,1744,518,1746,574
670.0,284,1040,293,952
671.0,1576,388,1534,360
672.0,522,252,559,229
673.0,142,68,137,62
674.0,1349,243,1321,268
675.0,1030,258,1014,246
676.0,236,62,229,58
677.0,1366,786,1345,699
678.0,1507,365,1580,365
679.0,843,167,827,183
680.0,271,1115,325,1154
681.0,602,200,610,198
682.0,43,643,39,691
683.0,580,281,628,266
684.0,297,193,302,247
685.0,239,85,278,77
686.0,2333,833,2327,864
687.0,244,54,272,52
688.0,788,1811,792,1909
689.0,1231,271,1223,260
690.0,206,3118,235,3329
691.0,754,512,748,510
692.0,772,213,787,187
693.0,2407,3921,2308,4032
694.0,6,37,14,33
695.0,0,223,0,215
696.0,428,106,451,100
697.0,2533,1760,2461,1692
698.0,2184,1781,2174,1805
699.0,1067,190,1094,179
700.0,200,1639,228,1647
701.0,199,72,196,60
702.0,680,198,717,182
703.0,237,1097,205,1033
704.0,68,296,72,311
705.0,447,120,468,173
706.0,598,596,577,563
